created_at,entry_id,field5,field6
2020-07-24 16:42:34 -0400,1062238,55.00000,22.20000
2020-07-24 16:42:51 -0400,1062239,54.70000,22.10000
2020-07-24 16:43:07 -0400,1062240,54.80000,22.20000
2020-07-24 16:43:23 -0400,1062241,54.70000,22.10000
2020-07-24 16:43:40 -0400,1062242,54.60000,22.10000
2020-07-24 16:43:56 -0400,1062243,54.90000,22.20000
2020-07-24 16:44:12 -0400,1062244,55.00000,22.20000
2020-07-24 16:44:29 -0400,1062245,55.20000,22.20000
2020-07-24 16:44:45 -0400,1062246,55.50000,22.20000
2020-07-24 16:45:01 -0400,1062247,55.40000,22.20000
2020-07-24 16:45:17 -0400,1062248,55.40000,22.10000
2020-07-24 16:45:34 -0400,1062249,55.70000,22.10000
2020-07-24 16:45:50 -0400,1062250,55.70000,22.10000
2020-07-24 16:46:06 -0400,1062251,55.20000,22.10000
2020-07-24 16:46:22 -0400,1062252,55.20000,22.20000
2020-07-24 16:46:39 -0400,1062253,55.50000,22.10000
2020-07-24 16:46:55 -0400,1062254,55.50000,22.10000
2020-07-24 16:47:11 -0400,1062255,55.30000,22.10000
2020-07-24 16:47:28 -0400,1062256,55.40000,22.10000
2020-07-24 16:47:44 -0400,1062257,55.40000,22.00000
2020-07-24 16:48:00 -0400,1062258,55.50000,22.00000
2020-07-24 16:48:17 -0400,1062259,55.80000,21.90000
2020-07-24 16:48:33 -0400,1062260,55.30000,21.90000
2020-07-24 16:48:49 -0400,1062261,55.30000,21.90000
2020-07-24 16:49:05 -0400,1062262,55.60000,21.90000
2020-07-24 16:49:22 -0400,1062263,55.50000,21.90000
2020-07-24 16:49:38 -0400,1062264,55.50000,21.90000
2020-07-24 16:49:54 -0400,1062265,55.20000,21.90000
2020-07-24 16:50:11 -0400,1062266,55.20000,21.90000
2020-07-24 16:50:27 -0400,1062267,55.20000,21.90000
2020-07-24 16:50:43 -0400,1062268,55.40000,21.90000
2020-07-24 16:51:00 -0400,1062269,55.30000,21.90000
2020-07-24 16:51:16 -0400,1062270,55.20000,21.80000
2020-07-24 16:51:32 -0400,1062271,55.50000,21.90000
2020-07-24 16:51:49 -0400,1062272,55.70000,21.90000
2020-07-24 16:52:05 -0400,1062273,55.40000,22.00000
2020-07-24 16:52:21 -0400,1062274,55.00000,21.80000
2020-07-24 16:52:38 -0400,1062275,55.40000,21.80000
2020-07-24 16:52:54 -0400,1062276,55.10000,21.80000
2020-07-24 16:53:10 -0400,1062277,55.00000,21.80000
2020-07-24 16:53:26 -0400,1062278,55.40000,21.70000
2020-07-24 16:53:43 -0400,1062279,55.40000,21.80000
2020-07-24 16:53:59 -0400,1062280,55.20000,21.80000
2020-07-24 16:54:15 -0400,1062281,54.80000,21.70000
2020-07-24 16:54:32 -0400,1062282,55.20000,21.80000
2020-07-24 16:54:48 -0400,1062283,55.20000,21.70000
2020-07-24 16:55:04 -0400,1062284,54.60000,21.70000
2020-07-24 16:55:21 -0400,1062285,54.60000,21.60000
2020-07-24 16:55:37 -0400,1062286,54.60000,21.60000
2020-07-24 16:55:53 -0400,1062287,54.30000,21.60000
2020-07-24 16:56:10 -0400,1062288,54.60000,21.60000
2020-07-24 16:56:26 -0400,1062289,55.10000,21.60000
2020-07-24 16:56:42 -0400,1062290,55.50000,21.70000
2020-07-24 16:56:58 -0400,1062291,55.80000,21.70000
2020-07-24 16:57:15 -0400,1062292,55.80000,21.70000
2020-07-24 16:57:31 -0400,1062293,55.90000,21.80000
2020-07-24 16:57:47 -0400,1062294,55.90000,21.90000
2020-07-24 16:58:03 -0400,1062295,55.80000,22.00000
2020-07-24 16:58:20 -0400,1062296,55.40000,22.00000
2020-07-24 16:58:36 -0400,1062297,55.20000,22.00000
2020-07-24 16:58:52 -0400,1062298,54.80000,22.10000
2020-07-24 16:59:09 -0400,1062299,54.80000,22.10000
2020-07-24 16:59:25 -0400,1062300,54.70000,22.20000
2020-07-24 16:59:41 -0400,1062301,54.70000,22.20000
2020-07-24 16:59:57 -0400,1062302,54.70000,22.30000
2020-07-24 17:00:14 -0400,1062303,54.50000,22.20000
2020-07-24 17:00:30 -0400,1062304,54.40000,22.30000
2020-07-24 17:00:46 -0400,1062305,54.20000,22.40000
2020-07-24 17:01:03 -0400,1062306,53.80000,22.40000
2020-07-24 17:01:19 -0400,1062307,53.60000,22.40000
2020-07-24 17:01:35 -0400,1062308,53.50000,22.50000
2020-07-24 17:01:52 -0400,1062309,53.20000,22.50000
2020-07-24 17:02:08 -0400,1062310,53.50000,22.60000
2020-07-24 17:02:24 -0400,1062311,53.60000,22.60000
2020-07-24 17:02:40 -0400,1062312,53.60000,22.60000
2020-07-24 17:02:57 -0400,1062313,53.90000,22.70000
2020-07-24 17:03:13 -0400,1062314,53.90000,22.70000
2020-07-24 17:03:29 -0400,1062315,53.70000,22.70000
2020-07-24 17:03:45 -0400,1062316,53.40000,22.70000
2020-07-24 17:04:02 -0400,1062317,53.50000,22.80000
2020-07-24 17:04:18 -0400,1062318,53.20000,22.80000
2020-07-24 17:04:34 -0400,1062319,53.20000,22.90000
2020-07-24 17:04:51 -0400,1062320,53.30000,22.90000
2020-07-24 17:05:07 -0400,1062321,53.20000,22.90000
2020-07-24 17:05:23 -0400,1062322,53.20000,22.90000
2020-07-24 17:05:39 -0400,1062323,53.00000,22.80000
2020-07-24 17:05:56 -0400,1062324,52.80000,22.70000
2020-07-24 17:06:12 -0400,1062325,53.00000,22.80000
2020-07-24 17:06:28 -0400,1062326,53.00000,22.80000
2020-07-24 17:06:45 -0400,1062327,52.80000,22.80000
2020-07-24 17:07:01 -0400,1062328,52.40000,22.70000
2020-07-24 17:07:17 -0400,1062329,52.40000,22.70000
2020-07-24 17:07:33 -0400,1062330,52.00000,22.60000
2020-07-24 17:07:50 -0400,1062331,52.30000,22.60000
2020-07-24 17:08:06 -0400,1062332,52.70000,22.50000
2020-07-24 17:08:22 -0400,1062333,54.20000,22.50000
2020-07-24 17:08:39 -0400,1062334,53.80000,22.50000
2020-07-24 17:08:55 -0400,1062335,52.90000,22.50000
2020-07-24 17:09:11 -0400,1062336,52.40000,22.50000
2020-07-24 17:09:27 -0400,1062337,52.70000,22.40000
